1,74354E+12;29;Login;200;OK;Usuarios 1-1;text;true;;3295;141;1;1;https://localhost:7006/Login/Index?ReturnUrl=%2F;29;0;26
1,74354E+12;17;Autenticacion;200;OK;Usuarios 1-1;text;true;;8174;1442;1;1;https://localhost:7006/;16;0;0
1,74354E+12;16;Autenticacion-0;302;Found;Usuarios 1-1;;true;;728;649;1;1;https://localhost:7006/Login/Login;16;0;0
1,74354E+12;1;Autenticacion-1;200;OK;Usuarios 1-1;text;true;;7446;793;1;1;https://localhost:7006/;1;0;0
1,74354E+12;1;Home;200;OK;Usuarios 1-1;text;true;;7446;877;1;1;https://localhost:7006/;1;0;0
1,74354E+12;9;Propietarios;200;OK;Usuarios 1-1;text;true;;10257;805;1;1;https://localhost:7006/Propietarios;9;0;0
1,74354E+12;13;PropietariosCrear;200;OK;Usuarios 1-1;text;true;;10736;2366;1;1;https://localhost:7006/Propietarios;5;0;0
1,74354E+12;5;PropietariosCrear-0;302;Found;Usuarios 1-1;;true;;381;1344;1;1;https://localhost:7006/Propietarios/Crear;5;0;0
1,74354E+12;8;PropietariosCrear-1;200;OK;Usuarios 1-1;text;true;;10355;1022;1;1;https://localhost:7006/Propietarios;8;0;0
1,74354E+12;54;PropietariosEditar;200;OK;Usuarios 1-1;text;true;;10959;2634;1;1;https://localhost:7006/Propietarios;47;0;0
1,74354E+12;47;PropietariosEditar-0;302;Found;Usuarios 1-1;;true;;509;1484;1;1;https://localhost:7006/Propietarios/Editar;47;0;0
1,74354E+12;6;PropietariosEditar-1;200;OK;Usuarios 1-1;text;true;;10450;1150;1;1;https://localhost:7006/Propietarios;6;0;0
1,74354E+12;17;PropietariosEliminar;200;OK;Usuarios 1-1;text;true;;10844;2251;1;1;https://localhost:7006/Propietarios;8;0;0
1,74354E+12;8;PropietariosEliminar-0;302;Found;Usuarios 1-1;;true;;445;1165;1;1;https://localhost:7006/Propietarios/Eliminar;8;0;0
1,74354E+12;9;PropietariosEliminar-1;200;OK;Usuarios 1-1;text;true;;10399;1086;1;1;https://localhost:7006/Propietarios;9;0;0
1,74354E+12;14;Pacientes;200;OK;Usuarios 1-1;text;true;;164161;802;1;1;https://localhost:7006/Pacientes;14;0;0
1,74354E+12;30;PacientesCrear;200;OK;Usuarios 1-1;text;true;;166226;2296;1;1;https://localhost:7006/Pacientes;6;0;0
1,74354E+12;6;PacientesCrear-0;302;Found;Usuarios 1-1;;true;;400;1255;1;1;https://localhost:7006/Pacientes/Crear;6;0;0
1,74354E+12;24;PacientesCrear-1;200;OK;Usuarios 1-1;text;true;;165826;1041;1;1;https://localhost:7006/Pacientes;22;0;0
1,74354E+12;12;PacientesEditar;200;OK;Usuarios 1-1;text;true;;166240;2458;1;1;https://localhost:7006/Pacientes;1;0;0
1,74354E+12;1;PacientesEditar-0;302;Found;Usuarios 1-1;;true;;400;1417;1;1;https://localhost:7006/Pacientes/Editar;1;0;0
